gene,geneID,GBM64_poor,GBM76_poor,GBM80_poor,GBM85_poor,GBM108_poor,GBM115_poor,GBM12_good,GBM39_good,GBM59_good
ADAM15,8751,5105.63121821424,6078.83612014156,4008.3285786011,7734.89723302856,7981.52337561818,3164.27616225284,7737.82123787724,6668.91131810528,7468.7582528696
EFNA4,1945,6.04843028960668,104.825238250962,61.9639505130505,416.279592123707,1127.65401266692,2.89040983078588,310.375002299254,250.738406922739,594.694085621594
EFNA3,1944,2437.51740671149,633.062223162671,279.122015613833,1327.8705810951,793.461922257831,263.027294601515,206.916668199503,294.556769297587,213.89913274362
EFNA1,1942,1130.30041037025,689.585635945053,330.853387143077,3202.1507086439,569.690025463442,912.646904070641,616.439240677685,1335.24287570022,14.305356011516
SLC50A1,55974,1227.07529500396,899.236112446976,612.249309197756,1014.46859684484,1277.16100048151,712.486023288719,1629.46876207108,2879.8401494136,3658.08389437338
DPM3,54344,1176.4196913285,1258.93055742577,1578.65954655726,1036.27047401008,1916.23008564976,1594.06102167841,1672.57640127931,1676.05236083792,1963.92101815241
KRTCAP2,200185,2961.46268054867,3439.70659241146,4271.53324912901,4455.75864564492,5283.55740597055,3465.60138711227,5069.45837088782,12205.8482748603,7040.27877995324
TRIM46,80128,3071.09047954779,1344.22952580645,1633.23330113756,1589.49310707792,2901.21729948707,922.040736020695,663.857643806738,816.725587597855,829.710648667928
MUC1,4582,182.208962474401,368.943730706816,194.987477302535,510.300187398784,693.790597048103,119.229405519917,189.673612516211,648.755198494272,74.2516097740593
MIR92B,693235,0.756053786200835,38.0248413263293,2.27390644084589,16.3514078739263,16.6118875349546,0.722602457696469,4.31076392082297,12.1717673263466,3.40603714559905
THBS3,7059,1723.8026325379,4410.8815938542,971.526526851407,5958.72555272331,8404.63792283202,1284.78716978432,1125.1093833348,5608.7503839805,2925.78590806958
MTX1,4580,862.657370055153,678.280953388576,692.972987847785,1098.26956219872,1638.71384683052,1010.19823585966,1896.73612516211,1273.16686233585,1166.90832608223
GBAP1,2630,1407.01609611975,1453.16555771431,1756.59272555345,2828.11225352784,3622.3686524751,882.297600847389,413.833336399005,1180.66143065562,1494.56909948886
GBA,2629,2501.02592475236,3246.49929053714,3045.89767751307,4072.86317793048,6839.2118151263,3210.52271954541,5099.63371833358,4787.1560894521,5158.1026532952
FAM189B,10712,2588.72816395166,2635.0187340732,1981.14098658698,2302.82327557796,4908.32418165158,1817.34518110662,5854.0174044776,1079.6357618469401,1681.21993506769
SCAMP3,10067,6725.09842825643,5665.70135762306,5596.65222753195,5622.159073985,10837.7908617754,7856.13392007601,10000.9722963093,11589.9568481472,9820.9675056203
