baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,enrichment
3703.1990486960917,9.829171672301548,1.4031931328321559,7.004860159529638,2.4723264560024456e-12,3.3480156569811693e-10,GFRA1,poor
9828.777505504548,9.814996677978224,0.6878277534377731,14.269556046441464,3.387280902790314e-46,2.5687444726310347e-42,B3GAT1,poor
106.46067652586505,9.812875892944325,2.023918723536855,4.848453536610426,1.244276659933383e-6,3.891122495094767e-5,CNTNAP4,poor
764.7912151097999,9.79916349223246,2.0015801893175915,4.895713668895442,9.794959897266114e-7,3.142064728629789e-5,FAM89A,poor
2459.1300789491515,9.78854328664735,1.308960419258507,7.478104870575318,7.540201897202952e-14,1.411879533023175e-11,ELFN2,poor
370.62525434348225,9.753997707374479,1.9268656815790461,5.062105677953214,4.1465106058917833e-7,1.4938272294432465e-5,VAX1,poor
722.8847766250706,9.717809332349173,2.1999921543333545,4.41720181283732,9.998686680864646e-6,2.2268734344886064e-4,IRX2,poor
99.29911963570682,9.712386695896164,1.8183429358420562,5.341339361487638,9.226235212110356e-8,4.0560669409297905e-6,LBX1-AS1,poor
10645.608442803818,9.693537312341135,0.9450311514633116,10.257373312330923,1.0964875080321558e-24,1.1884263137245515e-21,SCG3,poor
97.7248504879021,9.689330357527872,1.5522976758533509,6.241928019509092,4.322098546486589e-10,3.543419927273626e-8,TTC24,poor
97.18405699075423,9.681322917549508,2.1654756453130717,4.470760471725296,7.794195349308978e-6,1.7938476610465748e-4,GPR139,poor
1187.9922296135853,9.627103348738776,2.059510663811097,4.674461520351611,2.947258864371548e-6,8.08337706978721e-5,VIPR2,poor
17973.466254376053,9.613184468967868,1.006808963354212,9.54817132034788,1.320057145918995e-21,8.704915970501477e-19,SOX10,poor
963.2699299327352,9.550997986984148,1.4236539510968464,6.708791823761409,1.962423925227411e-11,2.1885355642591278e-9,KCNJ11,poor
2172.361757052031,9.397394833992111,0.7583761150340756,12.391469941758205,2.906661274842538e-35,7.34755525925613e-32,PDE9A,poor
287.38120618060606,9.386777425649344,1.6076479627085238,5.838826436749712,5.256979866149506e-9,3.2811775156333154e-7,SLC18A1,poor
