baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,enrichment
6189.443222536087,-0.4048983514933874,0.34040986459251077,0.13298579097873522,0.31801769898774906,TXNL4A,none
1921.9640683348748,0.40483887952604763,0.4672755625839498,0.17576074324206964,0.378396675308955,TM7SF2,none
4943.778083831317,-0.40449142991430476,0.36097538154695485,0.14442586565737964,0.33538797260521847,MYO1C,none
1784.6958286360427,-0.4044850233643309,0.2671986621507324,0.08141481643184749,0.23037175313247224,UEVLD,none
843.2933249257314,-0.4043201888543927,0.732558915696282,0.1999700068018077,0.4091292080178825,TNFRSF14,none
347.194287644476,-0.4040587550191155,0.9382726092799784,0.2295242359943947,0.44593583196993425,PAWR,none
356.36118555083243,0.4040060192447246,0.4384697779091822,0.171541290775192,0.3731237522427932,TUBB1,none
11224.108060199007,0.40398120142757593,0.5311995700062114,0.18305567142242876,0.38788482212056735,LRP4,none
521.2701128733776,0.40393538614964414,0.43808895131161324,0.17153170145122065,0.3731237522427932,EPOR,none
6098.761909857024,-0.4039176113816821,0.31109924781903,0.11519043695959096,0.28911767437562347,ZCCHC17,none
3670.188465748981,-0.4038989680068399,0.4203760219329122,0.16734777325045858,0.36859737373319695,ERG28,none
3223.2492023811933,-0.40359445172435554,0.2684802625570172,0.08312653433936047,0.23356063276616312,CCNYL1,none
3687.770139200446,-0.4033373275547497,0.28805660543985556,0.09880448029462251,0.26124056782640415,SLC30A6,none
52.32518778689159,-0.4032941417387386,0.9865013524092062,0.23806085866142807,0.4555904315676655,KLF17,none
6415.805509456149,-0.4031741888097277,0.47044239835816704,0.17785600518536532,0.3811774141066754,BMPR1A,none
3205.5133596917244,0.4031667079787829,0.28910691354970824,0.0997533248131707,0.26285693819692796,TMUB1,none
8152.367307264845,-0.4028917529803582,0.3861985894730495,0.15719038540541969,0.3543358926873683,CFAP97,none
2196.587358176609,0.40281916407044,0.3116180210630858,0.11654084131659208,0.29121779544011106,ZNF10,none
349.4250520072471,0.4026847139622415,0.4060812851148201,0.16442412753548663,0.36453833008086706,AGBL3,none
11754.270567891146,-0.4026817775203128,0.340090606600768,0.13491786177732168,0.32112016717205405,SLC39A1,none
8377.758596283458,0.40267805201025964,0.38126097722100016,0.15541998106176977,0.3518237418130541,HDGFL3,none
2630.8573399114507,0.4025722772311969,0.4549344127297222,0.17609682412400554,0.3789405772807847,KRBA1,none
12415.36772345235,0.40239997919517334,0.3873541391924098,0.15813628875917676,0.3555314162030491,CREBBP,none
5903.86299076425,0.4023922325606878,0.4213270425341553,0.16912351730166947,0.37061187822912,SLC12A4,none
545.8610591853684,0.40221902343668675,0.5952185616203078,0.18915326214550923,0.3958124257882576,ZNF781,none
10356.206576321261,0.4021840603159085,0.3694328755970341,0.15075006307573885,0.3452563650478757,IP6K1,none
577.6757320898766,0.4021165102945392,0.48566008532057403,0.1807926309844094,0.38499829256909346,SRPK3,none
10311.884311110573,0.4020233131099299,0.6620014917341229,0.19470673334639046,0.40273355120353155,NDRG2,none
2090.0711461778924,-0.40187716634933085,0.4014081841334981,0.16372767603889882,0.3633657942562372,TBPL1,none
7810.838927414257,-0.4018400905835524,0.3018913002949374,0.11047863188866643,0.2817115075187512,MRFAP1L1,none
54.397774199108476,0.40172967771958357,0.862173447355593,0.21978857364759252,0.43465159228966244,ALX4,none
3914.812591225492,-0.40168875800848663,0.30506009538891365,0.1129143513064408,0.28535032036782526,TSNAX,none
160.73045105606357,-0.40167370676930464,0.6643518694614983,0.19523949134047314,0.4033408193229483,BATF2,none
1379.6236809788722,0.4016426518561081,0.3428205401683935,0.13750282949474452,0.32542542581809236,LRRC37B,none
22783.010233824698,-0.40162112552288076,0.25358289183683486,0.07235564282172452,0.21352199397782234,PAPOLA,none
11270.975023479696,-0.40138592781108606,0.33860028346236104,0.13528965287536043,0.3217023893689834,KIF4A,none
8019.219997683288,0.40135515313202746,0.2892541984401538,0.10139939229161811,0.26558066888734766,DHX38,none
621.6215262551381,0.40134880307288107,0.4267143146743892,0.171553356204629,0.3731237522427932,ZNF879,none
1515.2276900994239,-0.40129348779646884,0.4282843772325318,0.17199100005407,0.37351257673782723,SLC17A5,none
583.724006950606,-0.40122317182429135,0.3283048738902229,0.12912801578218475,0.3115542563821165,SLC35E4,none
5118.541666680756,0.4012042993354251,0.3712353475546152,0.15255690332418606,0.3479446538681494,DGKD,none
6535.585000305943,0.40110250681514054,0.34040063683452576,0.13662396813047437,0.3240992004287392,GET1,none
3146.1413478592603,-0.40109967741976904,0.24154214659412201,0.06269361353970347,0.19415704270671683,RIOK2,none
960.586665503383,0.4010892744209736,0.8039814320140086,0.2119677683073652,0.42503206883827954,CDH3,none
4460.898198215547,0.40103520596804776,0.8107530137839277,0.21295499884187769,0.42647195836152785,ANGPT1,none
9088.668830714805,0.4009435311754821,0.6660697589704142,0.19606166943049183,0.404106193220497,GRIA1,none
13523.400008084143,-0.4008460580829874,0.3840970384175239,0.15842356279725972,0.3558240847547281,YME1L1,none
71.38794749888116,-0.40076308527491245,0.6100951151950446,0.19157811694794585,0.3983795943329117,"NAGS",none
826.743193653325,-0.40075746041636,0.4074725469084927,0.16682218730401666,0.3680272033285414,A1BG,none
7674.0209052572545,-0.40072669627305635,0.35937883865208436,0.14734482249955905,0.3398267308765092,HAUS6,none
13222.97017485599,0.400722702965872,0.2835276349305993,0.09746603046992602,0.2589426589309535,ZFAND3,none
3182.508262551659,-0.40067338059506,0.35878336656405735,0.14709626009276755,0.33937748642222776,CEPT1,none
7740.343357894135,-0.40066833879808206,0.41581881634023127,0.16938332414049248,0.37073420573165483,HSD17B12,none
7824.469399284157,-0.40053908499395413,0.48072364218637703,0.181793961661808,0.38596569451712437,RAI14,none
6693.290455214784,0.4005193162067954,0.26009142631370197,0.07857232866173733,0.22492848065406434,WRNIP1,none
5389.797982148079,-0.40043053691073766,0.47162380955255384,0.18075978180712854,0.38499829256909346,FNBP1,none
11881.416203602992,-0.40034894552998723,0.32321508680100286,0.12666883807757268,0.3076127398946237,MAPKAP1,none
1492.3915800967022,-0.4003427313960599,0.35535849623645555,0.14566008645863748,0.33713815633809807,SWI5,none
28436.280357482206,-0.40032084125144624,0.3393787093263539,0.13678233376536214,0.32423586785735853,EIF3B,none
183.04158100778974,0.40023526387421227,0.9362389668800842,0.232801837920413,0.44943605901246864,DNAH14,none
8762.061118686112,-0.4002271075936714,0.34853315533679047,0.1421057788537034,0.33172585534320365,NDUFA5,none
7773.061298876068,-0.40014465807390015,0.20998077000130047,0.037908280583768605,0.13877758868799805,KXD1,none
55.10118050939485,0.40002150183408053,0.583217929242603,0.19036738240329007,0.39722245396166295,STAR,none
5458.529021006025,-0.3999829777934132,0.3845276461106147,0.1594742626352783,0.3574276961426837,ANKMY2,none
756.0904375864694,0.39976277511902575,0.4938155658285133,0.18399216504529084,0.38916291542048836,RCN3,none
1647.176107636139,-0.39973212740344327,0.25111962996997444,0.07164247767180704,0.21225639783382533,FBXL12,none
